原始数据+原始评估
Start training...
Epoch: [0][0/6349]      Loss 0.6738 (0.6738)    Accuracy 0.594 (0.594)
Epoch: [0][200/6349]    Loss 0.5111 (0.4981)    Accuracy 0.453 (0.512)
Epoch: [0][400/6349]    Loss 0.5277 (0.4796)    Accuracy 0.484 (0.509)
Epoch: [0][600/6349]    Loss 0.4610 (0.4649)    Accuracy 0.562 (0.509)
Epoch: [0][800/6349]    Loss 0.3557 (0.4572)    Accuracy 0.500 (0.509)
Epoch: [0][1000/6349]   Loss 0.4036 (0.4494)    Accuracy 0.547 (0.508)
Epoch: [0][1200/6349]   Loss 0.3634 (0.4435)    Accuracy 0.516 (0.509)
Epoch: [0][1400/6349]   Loss 0.4800 (0.4380)    Accuracy 0.453 (0.508)
Epoch: [0][1600/6349]   Loss 0.4108 (0.4351)    Accuracy 0.469 (0.508)
Epoch: [0][1800/6349]   Loss 0.3795 (0.4301)    Accuracy 0.469 (0.509)
Epoch: [0][2000/6349]   Loss 0.3787 (0.4259)    Accuracy 0.516 (0.509)
Epoch: [0][2200/6349]   Loss 0.3791 (0.4222)    Accuracy 0.562 (0.512)
Epoch: [0][2400/6349]   Loss 0.3341 (0.4189)    Accuracy 0.562 (0.516)
Epoch: [0][2600/6349]   Loss 0.4016 (0.4155)    Accuracy 0.656 (0.519)
Epoch: [0][2800/6349]   Loss 0.3036 (0.4126)    Accuracy 0.594 (0.522)
Epoch: [0][3000/6349]   Loss 0.3219 (0.4097)    Accuracy 0.609 (0.525)
Epoch: [0][3200/6349]   Loss 0.3266 (0.4066)    Accuracy 0.578 (0.528)
Epoch: [0][3400/6349]   Loss 0.3587 (0.4032)    Accuracy 0.688 (0.531)
Epoch: [0][3600/6349]   Loss 0.2316 (0.4003)    Accuracy 0.688 (0.534)
Epoch: [0][3800/6349]   Loss 0.3158 (0.3976)    Accuracy 0.609 (0.537)
Epoch: [0][4000/6349]   Loss 0.3520 (0.3947)    Accuracy 0.594 (0.539)
Epoch: [0][4200/6349]   Loss 0.3290 (0.3916)    Accuracy 0.547 (0.542)
Epoch: [0][4400/6349]   Loss 0.3229 (0.3889)    Accuracy 0.547 (0.544)
Epoch: [0][4600/6349]   Loss 0.3671 (0.3865)    Accuracy 0.672 (0.547)
Epoch: [0][4800/6349]   Loss 0.2828 (0.3841)    Accuracy 0.562 (0.549)
Epoch: [0][5000/6349]   Loss 0.3540 (0.3815)    Accuracy 0.641 (0.551)
Epoch: [0][5200/6349]   Loss 0.2674 (0.3789)    Accuracy 0.609 (0.553)
Epoch: [0][5400/6349]   Loss 0.4039 (0.3768)    Accuracy 0.625 (0.555)
Epoch: [0][5600/6349]   Loss 0.3762 (0.3748)    Accuracy 0.672 (0.557)
Epoch: [0][5800/6349]   Loss 0.2661 (0.3726)    Accuracy 0.688 (0.559)
Epoch: [0][6000/6349]   Loss 0.2933 (0.3707)    Accuracy 0.719 (0.561)
Epoch: [0][6200/6349]   Loss 0.3843 (0.3684)    Accuracy 0.547 (0.563)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:17<00:00, 45.30it/s]

 *Evaluation Loss: 0.3047        Accuracy: 0.630

Epoch: [1][0/6349]      Loss 0.2734 (0.2734)    Accuracy 0.672 (0.672)
Epoch: [1][200/6349]    Loss 0.3090 (0.2916)    Accuracy 0.672 (0.623)
Epoch: [1][400/6349]    Loss 0.2708 (0.2921)    Accuracy 0.609 (0.622)
Epoch: [1][600/6349]    Loss 0.3238 (0.2887)    Accuracy 0.562 (0.625)
Epoch: [1][800/6349]    Loss 0.3005 (0.2885)    Accuracy 0.750 (0.626)
Epoch: [1][1000/6349]   Loss 0.2307 (0.2877)    Accuracy 0.625 (0.627)
Epoch: [1][1200/6349]   Loss 0.2257 (0.2858)    Accuracy 0.719 (0.628)
Epoch: [1][1400/6349]   Loss 0.2461 (0.2846)    Accuracy 0.641 (0.629)
Epoch: [1][1600/6349]   Loss 0.2495 (0.2832)    Accuracy 0.688 (0.630)
Epoch: [1][1800/6349]   Loss 0.1994 (0.2834)    Accuracy 0.734 (0.631)
Epoch: [1][2000/6349]   Loss 0.3274 (0.2830)    Accuracy 0.656 (0.631)
Epoch: [1][2200/6349]   Loss 0.3393 (0.2816)    Accuracy 0.672 (0.632)
Epoch: [1][2400/6349]   Loss 0.2670 (0.2805)    Accuracy 0.609 (0.633)
Epoch: [1][2600/6349]   Loss 0.3992 (0.2798)    Accuracy 0.609 (0.634)
Epoch: [1][2800/6349]   Loss 0.3833 (0.2791)    Accuracy 0.516 (0.634)
Epoch: [1][3000/6349]   Loss 0.3083 (0.2785)    Accuracy 0.562 (0.635)
Epoch: [1][3200/6349]   Loss 0.3005 (0.2779)    Accuracy 0.516 (0.635)
Epoch: [1][3400/6349]   Loss 0.2196 (0.2774)    Accuracy 0.734 (0.635)
Epoch: [1][3600/6349]   Loss 0.3065 (0.2769)    Accuracy 0.656 (0.636)
Epoch: [1][3800/6349]   Loss 0.2663 (0.2762)    Accuracy 0.750 (0.637)
Epoch: [1][4000/6349]   Loss 0.3759 (0.2759)    Accuracy 0.656 (0.637)
Epoch: [1][4200/6349]   Loss 0.1834 (0.2754)    Accuracy 0.641 (0.638)
Epoch: [1][4400/6349]   Loss 0.2184 (0.2747)    Accuracy 0.609 (0.639)
Epoch: [1][4600/6349]   Loss 0.2659 (0.2744)    Accuracy 0.453 (0.639)
Epoch: [1][4800/6349]   Loss 0.2703 (0.2740)    Accuracy 0.703 (0.640)
Epoch: [1][5000/6349]   Loss 0.1895 (0.2734)    Accuracy 0.688 (0.640)
Epoch: [1][5200/6349]   Loss 0.2836 (0.2733)    Accuracy 0.609 (0.641)
